int_len,prob_err,prob_err_est,se,st
41.0,0.95,0.9980167150497437,1.0,0.8205759167671204
83.0,0.95,0.9981085658073425,1.0,0.8205759167671204
125.0,1.0,0.9980176687240601,1.0,0.8205759167671204
167.0,1.0,0.9980490803718567,1.0,0.8205759167671204
208.0,1.0,0.7308638095855713,1.0,0.8205759167671204
250.0,0.95,0.5780919790267944,1.0,0.8205759167671204
292.0,0.95,0.43374624848365784,1.0,0.8205759167671204
334.0,0.9,0.49594196677207947,1.0,0.8205759167671204
375.0,0.8,0.43154826760292053,1.0,0.8205759167671204
417.0,0.65,0.5094209909439087,1.0,0.8205759167671204
459.0,0.75,0.47795048356056213,1.0,0.8205759167671204
501.0,0.65,0.4632560610771179,1.0,0.8205759167671204
542.0,0.55,0.46909523010253906,1.0,0.8205759167671204
584.0,0.45,0.40414515137672424,0.9666666666666667,0.6588309645652771
626.0,0.5,0.3995848596096039,0.9,0.5664307196935018
668.0,0.45,0.3627331852912903,0.9,0.5664307196935018
710.0,0.5,0.38230496644973755,0.8,0.4978801250457764
751.0,0.5,0.40128883719444275,0.8,0.4978801250457764
793.0,0.45,0.4008101522922516,0.8,0.4978801250457764
835.0,0.4,0.3718284070491791,0.7666666666666667,0.5102353851000468
877.0,0.4,0.3770490288734436,0.7666666666666667,0.5102353851000468
918.0,0.35,0.35793668031692505,0.7666666666666667,0.5102353851000468
960.0,0.4,0.36481571197509766,0.6333333333333333,0.5232090393702189
1002.0,0.35,0.36229848861694336,0.6333333333333333,0.5232090393702189
1044.0,0.25,0.3514251112937927,0.6333333333333333,0.5263442258040111
1085.0,0.25,0.35140690207481384,0.6333333333333333,0.5263442258040111
1127.0,0.25,0.33773142099380493,0.5666666666666667,0.5291924556096395
1169.0,0.25,0.32584530115127563,0.5666666666666667,0.5291924556096395
1211.0,0.25,0.3270224630832672,0.5666666666666667,0.5291924556096395
1253.0,0.25,0.3268207907676697,0.5666666666666667,0.5291924556096395
